2023-12-12 11:54:49 {"sensorData": "55","sensorId": "lpgOrj","timestamp": "2023-12-12T10:54:49.440Z"}
2023-12-12 11:54:51 {"sensorData": "93","sensorId": "lyJRgK","timestamp": "2023-12-12T10:54:51.305Z"}
2023-12-12 11:54:51 {"sensorData": "74","sensorId": "1cndeI","timestamp": "2023-12-12T10:54:51.356Z"}
2023-12-12 11:54:51 {"sensorData": "76","sensorId": "urB0Oy","timestamp": "2023-12-12T10:54:51.406Z"}
2023-12-12 11:54:51 {"sensorData": "80","sensorId": "ku4RQQ","timestamp": "2023-12-12T10:54:51.456Z"}
2023-12-12 11:54:51 {"sensorData": "36","sensorId": "wgvFC4","timestamp": "2023-12-12T10:54:51.507Z"}
2023-12-12 11:54:51 {"sensorData": "56","sensorId": "HDWwDa","timestamp": "2023-12-12T10:54:51.557Z"}
2023-12-12 11:54:51 {"sensorData": "47","sensorId": "HGKZXb","timestamp": "2023-12-12T10:54:51.608Z"}
2023-12-12 11:54:51 {"sensorData": "41","sensorId": "CyRMSJ","timestamp": "2023-12-12T10:54:51.658Z"}
2023-12-12 11:54:51 {"sensorData": "35","sensorId": "wq5Quq","timestamp": "2023-12-12T10:54:51.709Z"}
2023-12-12 11:54:51 {"sensorData": "77","sensorId": "WiurJg","timestamp": "2023-12-12T10:54:51.759Z"}
2023-12-12 11:54:51 {"sensorData": "37","sensorId": "cebHKJ","timestamp": "2023-12-12T10:54:51.809Z"}
2023-12-12 11:54:51 {"sensorData": "12","sensorId": "wK9W6O","timestamp": "2023-12-12T10:54:51.860Z"}
2023-12-12 11:54:51 {"sensorData": "86","sensorId": "MoN7CI","timestamp": "2023-12-12T10:54:51.910Z"}
2023-12-12 11:54:51 {"sensorData": "37","sensorId": "WWVG2f","timestamp": "2023-12-12T10:54:51.961Z"}
2023-12-12 11:54:52 {"sensorData": "74","sensorId": "ClzCoA","timestamp": "2023-12-12T10:54:52.011Z"}
2023-12-12 11:54:52 {"sensorData": "46","sensorId": "Y9ukIu","timestamp": "2023-12-12T10:54:52.062Z"}
2023-12-12 11:54:52 {"sensorData": "68","sensorId": "C6sfk3","timestamp": "2023-12-12T10:54:52.112Z"}
2023-12-12 11:54:52 {"sensorData": "64","sensorId": "MzLwju","timestamp": "2023-12-12T10:54:52.162Z"}
2023-12-12 11:54:52 {"sensorData": "9","sensorId": "czPCJe","timestamp": "2023-12-12T10:54:52.213Z"}
2023-12-12 11:54:52 {"sensorData": "52","sensorId": "XF4JCn","timestamp": "2023-12-12T10:54:52.263Z"}
2023-12-12 11:54:52 {"sensorData": "18","sensorId": "aFODB5","timestamp": "2023-12-12T10:54:52.314Z"}
2023-12-12 11:54:52 {"sensorData": "94","sensorId": "MWEmmf","timestamp": "2023-12-12T10:54:52.364Z"}
2023-12-12 11:54:52 {"sensorData": "93","sensorId": "tAAvXf","timestamp": "2023-12-12T10:54:52.415Z"}
2023-12-12 11:54:52 {"sensorData": "5","sensorId": "wjQhMI","timestamp": "2023-12-12T10:54:52.465Z"}
2023-12-12 11:54:52 {"sensorData": "35","sensorId": "fTzdob","timestamp": "2023-12-12T10:54:52.516Z"}
2023-12-12 11:54:52 {"sensorData": "30","sensorId": "Q4aqRE","timestamp": "2023-12-12T10:54:52.566Z"}
2023-12-12 11:54:52 {"sensorData": "44","sensorId": "1I9k6x","timestamp": "2023-12-12T10:54:52.616Z"}
2023-12-12 11:54:52 {"sensorData": "80","sensorId": "TCpeK3","timestamp": "2023-12-12T10:54:52.667Z"}
2023-12-12 11:54:52 {"sensorData": "55","sensorId": "mA0pjn","timestamp": "2023-12-12T10:54:52.717Z"}
2023-12-12 11:54:52 {"sensorData": "85","sensorId": "ynXchY","timestamp": "2023-12-12T10:54:52.768Z"}
2023-12-12 11:54:52 {"sensorData": "52","sensorId": "WqSLWQ","timestamp": "2023-12-12T10:54:52.818Z"}
2023-12-12 11:54:52 {"sensorData": "46","sensorId": "SdoAEB","timestamp": "2023-12-12T10:54:52.869Z"}
2023-12-12 11:54:52 {"sensorData": "30","sensorId": "evLoVC","timestamp": "2023-12-12T10:54:52.919Z"}
2023-12-12 11:54:52 {"sensorData": "14","sensorId": "2NXq0K","timestamp": "2023-12-12T10:54:52.969Z"}
2023-12-12 11:54:53 {"sensorData": "82","sensorId": "6wISLp","timestamp": "2023-12-12T10:54:53.020Z"}
2023-12-12 11:54:53 {"sensorData": "16","sensorId": "x5eg6s","timestamp": "2023-12-12T10:54:53.070Z"}
2023-12-12 11:54:53 {"sensorData": "2","sensorId": "yT6CcH","timestamp": "2023-12-12T10:54:53.121Z"}
2023-12-12 11:54:53 {"sensorData": "55","sensorId": "V7jOL4","timestamp": "2023-12-12T10:54:53.171Z"}
2023-12-12 11:54:53 {"sensorData": "62","sensorId": "BCjvXR","timestamp": "2023-12-12T10:54:53.222Z"}
2023-12-12 11:54:53 {"sensorData": "28","sensorId": "y4wVZA","timestamp": "2023-12-12T10:54:53.272Z"}
2023-12-12 11:54:53 {"sensorData": "31","sensorId": "UQtixp","timestamp": "2023-12-12T10:54:53.322Z"}
2023-12-12 11:54:53 {"sensorData": "21","sensorId": "AXmjUv","timestamp": "2023-12-12T10:54:53.373Z"}
2023-12-12 11:54:53 {"sensorData": "63","sensorId": "tnMTPV","timestamp": "2023-12-12T10:54:53.423Z"}
2023-12-12 11:54:53 {"sensorData": "50","sensorId": "CAiYvE","timestamp": "2023-12-12T10:54:53.474Z"}
2023-12-12 11:54:53 {"sensorData": "94","sensorId": "i2x0IR","timestamp": "2023-12-12T10:54:53.524Z"}
2023-12-12 11:54:53 {"sensorData": "37","sensorId": "44GuPQ","timestamp": "2023-12-12T10:54:53.575Z"}
2023-12-12 11:54:53 {"sensorData": "17","sensorId": "y9lRmX","timestamp": "2023-12-12T10:54:53.625Z"}
2023-12-12 11:54:53 {"sensorData": "98","sensorId": "ZGDq6J","timestamp": "2023-12-12T10:54:53.675Z"}
2023-12-12 11:54:53 {"sensorData": "42","sensorId": "pcMw4a","timestamp": "2023-12-12T10:54:53.726Z"}
2023-12-12 11:54:53 {"sensorData": "80","sensorId": "BPjvHN","timestamp": "2023-12-12T10:54:53.776Z"}
2023-12-12 11:54:53 {"sensorData": "33","sensorId": "ntcLsn","timestamp": "2023-12-12T10:54:53.827Z"}
2023-12-12 11:54:53 {"sensorData": "82","sensorId": "EaPsEi","timestamp": "2023-12-12T10:54:53.877Z"}
2023-12-12 11:54:53 {"sensorData": "68","sensorId": "zPKORn","timestamp": "2023-12-12T10:54:53.928Z"}
2023-12-12 11:54:53 {"sensorData": "76","sensorId": "Kllb0u","timestamp": "2023-12-12T10:54:53.978Z"}
2023-12-12 11:54:54 {"sensorData": "40","sensorId": "x87Ir9","timestamp": "2023-12-12T10:54:54.028Z"}
2023-12-12 11:54:54 {"sensorData": "93","sensorId": "Klycjb","timestamp": "2023-12-12T10:54:54.079Z"}
2023-12-12 11:54:54 {"sensorData": "0","sensorId": "Oh2dWD","timestamp": "2023-12-12T10:54:54.129Z"}
2023-12-12 11:54:54 {"sensorData": "5","sensorId": "EOOcZZ","timestamp": "2023-12-12T10:54:54.180Z"}
2023-12-12 11:54:54 {"sensorData": "81","sensorId": "Njx8fs","timestamp": "2023-12-12T10:54:54.230Z"}
2023-12-12 11:54:54 {"sensorData": "61","sensorId": "xpM5A8","timestamp": "2023-12-12T10:54:54.280Z"}
2023-12-12 11:54:54 {"sensorData": "71","sensorId": "I9smgi","timestamp": "2023-12-12T10:54:54.331Z"}
2023-12-12 11:54:54 {"sensorData": "35","sensorId": "1J2tlG","timestamp": "2023-12-12T10:54:54.381Z"}
2023-12-12 11:54:54 {"sensorData": "93","sensorId": "atwLBR","timestamp": "2023-12-12T10:54:54.432Z"}
2023-12-12 11:54:54 {"sensorData": "86","sensorId": "G9d3mP","timestamp": "2023-12-12T10:54:54.482Z"}
2023-12-12 11:54:54 {"sensorData": "52","sensorId": "LOUjLa","timestamp": "2023-12-12T10:54:54.532Z"}
2023-12-12 11:54:54 {"sensorData": "57","sensorId": "QiIHQy","timestamp": "2023-12-12T10:54:54.583Z"}
2023-12-12 11:54:54 {"sensorData": "60","sensorId": "13j0mF","timestamp": "2023-12-12T10:54:54.633Z"}
2023-12-12 11:54:54 {"sensorData": "15","sensorId": "Nk9kja","timestamp": "2023-12-12T10:54:54.684Z"}
2023-12-12 11:54:54 {"sensorData": "43","sensorId": "tQY4sG","timestamp": "2023-12-12T10:54:54.734Z"}
2023-12-12 11:54:54 {"sensorData": "65","sensorId": "3GwHM2","timestamp": "2023-12-12T10:54:54.785Z"}
2023-12-12 11:54:54 {"sensorData": "28","sensorId": "qr0ik9","timestamp": "2023-12-12T10:54:54.835Z"}
2023-12-12 11:54:54 {"sensorData": "60","sensorId": "uCx8Mv","timestamp": "2023-12-12T10:54:54.886Z"}
2023-12-12 11:54:54 {"sensorData": "72","sensorId": "Tvfb91","timestamp": "2023-12-12T10:54:54.936Z"}
2023-12-12 11:54:54 {"sensorData": "87","sensorId": "rx7j1t","timestamp": "2023-12-12T10:54:54.986Z"}
2023-12-12 11:54:55 {"sensorData": "18","sensorId": "CmTSBJ","timestamp": "2023-12-12T10:54:55.037Z"}
2023-12-12 11:54:55 {"sensorData": "70","sensorId": "JHU37g","timestamp": "2023-12-12T10:54:55.087Z"}
2023-12-12 11:54:55 {"sensorData": "87","sensorId": "Iz5pS9","timestamp": "2023-12-12T10:54:55.138Z"}
2023-12-12 11:54:55 {"sensorData": "32","sensorId": "S0m7mh","timestamp": "2023-12-12T10:54:55.188Z"}
2023-12-12 11:54:55 {"sensorData": "68","sensorId": "bATBKC","timestamp": "2023-12-12T10:54:55.239Z"}
2023-12-12 11:54:55 {"sensorData": "78","sensorId": "996IEP","timestamp": "2023-12-12T10:54:55.289Z"}
2023-12-12 11:54:55 {"sensorData": "96","sensorId": "AVr8kl","timestamp": "2023-12-12T10:54:55.339Z"}
2023-12-12 11:54:55 {"sensorData": "49","sensorId": "2kCI8M","timestamp": "2023-12-12T10:54:55.390Z"}
2023-12-12 11:54:55 {"sensorData": "34","sensorId": "kTIkhr","timestamp": "2023-12-12T10:54:55.440Z"}
2023-12-12 11:54:55 {"sensorData": "73","sensorId": "QRTPPQ","timestamp": "2023-12-12T10:54:55.491Z"}
2023-12-12 11:54:55 {"sensorData": "92","sensorId": "jvOHe5","timestamp": "2023-12-12T10:54:55.541Z"}
2023-12-12 11:54:55 {"sensorData": "11","sensorId": "oeRemh","timestamp": "2023-12-12T10:54:55.592Z"}
2023-12-12 11:54:55 {"sensorData": "69","sensorId": "lThtCP","timestamp": "2023-12-12T10:54:55.642Z"}
2023-12-12 11:54:55 {"sensorData": "75","sensorId": "H7dnMW","timestamp": "2023-12-12T10:54:55.692Z"}
2023-12-12 11:54:55 {"sensorData": "43","sensorId": "rAfBTT","timestamp": "2023-12-12T10:54:55.743Z"}
2023-12-12 11:54:55 {"sensorData": "50","sensorId": "XMC9Rh","timestamp": "2023-12-12T10:54:55.793Z"}
2023-12-12 11:54:55 {"sensorData": "4","sensorId": "3oPc5U","timestamp": "2023-12-12T10:54:55.844Z"}
2023-12-12 11:54:55 {"sensorData": "14","sensorId": "vzX2uY","timestamp": "2023-12-12T10:54:55.894Z"}
2023-12-12 11:54:55 {"sensorData": "36","sensorId": "7L7o9c","timestamp": "2023-12-12T10:54:55.944Z"}
2023-12-12 11:54:55 {"sensorData": "25","sensorId": "TVKGxa","timestamp": "2023-12-12T10:54:55.995Z"}
2023-12-12 11:54:56 {"sensorData": "30","sensorId": "cfI4tl","timestamp": "2023-12-12T10:54:56.045Z"}
2023-12-12 11:54:56 {"sensorData": "32","sensorId": "m5qHuc","timestamp": "2023-12-12T10:54:56.096Z"}
2023-12-12 11:54:56 {"sensorData": "59","sensorId": "P0DKzy","timestamp": "2023-12-12T10:54:56.146Z"}
2023-12-12 11:54:56 {"sensorData": "58","sensorId": "xAAgja","timestamp": "2023-12-12T10:54:56.197Z"}
2023-12-12 11:54:56 {"sensorData": "90","sensorId": "F8gHdM","timestamp": "2023-12-12T10:54:56.247Z"}
2023-12-12 11:54:56 {"sensorData": "59","sensorId": "uXwGSK","timestamp": "2023-12-12T10:54:56.298Z"}
2023-12-12 11:54:56 {"sensorData": "5","sensorId": "bKyQz2","timestamp": "2023-12-12T10:54:56.348Z"}
2023-12-12 11:54:56 {"sensorData": "10","sensorId": "YoajNA","timestamp": "2023-12-12T10:54:56.399Z"}
2023-12-12 11:54:56 {"sensorData": "87","sensorId": "Wy0rw4","timestamp": "2023-12-12T10:54:56.449Z"}
2023-12-12 11:54:56 {"sensorData": "43","sensorId": "xHmRsG","timestamp": "2023-12-12T10:54:56.500Z"}
2023-12-12 11:54:56 {"sensorData": "71","sensorId": "bhmcRL","timestamp": "2023-12-12T10:54:56.550Z"}
2023-12-12 11:54:56 {"sensorData": "94","sensorId": "gB43P4","timestamp": "2023-12-12T10:54:56.601Z"}
2023-12-12 11:54:56 {"sensorData": "74","sensorId": "stqdRg","timestamp": "2023-12-12T10:54:56.651Z"}
2023-12-12 11:54:56 {"sensorData": "92","sensorId": "c8fzFs","timestamp": "2023-12-12T10:54:56.701Z"}
2023-12-12 11:54:56 {"sensorData": "1","sensorId": "YYqX3D","timestamp": "2023-12-12T10:54:56.752Z"}
2023-12-12 11:54:56 {"sensorData": "41","sensorId": "JcDPDx","timestamp": "2023-12-12T10:54:56.802Z"}
2023-12-12 11:54:56 {"sensorData": "44","sensorId": "gpHxIX","timestamp": "2023-12-12T10:54:56.853Z"}
2023-12-12 11:54:56 {"sensorData": "92","sensorId": "o1SoZY","timestamp": "2023-12-12T10:54:56.903Z"}
2023-12-12 11:54:56 {"sensorData": "67","sensorId": "teSf07","timestamp": "2023-12-12T10:54:56.954Z"}
2023-12-12 11:54:57 {"sensorData": "54","sensorId": "UyPtAi","timestamp": "2023-12-12T10:54:57.004Z"}
2023-12-12 11:54:57 {"sensorData": "22","sensorId": "3DD7Q8","timestamp": "2023-12-12T10:54:57.054Z"}
2023-12-12 11:54:57 {"sensorData": "98","sensorId": "nVUBMD","timestamp": "2023-12-12T10:54:57.105Z"}
2023-12-12 11:54:57 {"sensorData": "45","sensorId": "zrqQv7","timestamp": "2023-12-12T10:54:57.155Z"}
2023-12-12 11:54:57 {"sensorData": "27","sensorId": "l2L3qq","timestamp": "2023-12-12T10:54:57.206Z"}
2023-12-12 11:54:57 {"sensorData": "48","sensorId": "QwhJXI","timestamp": "2023-12-12T10:54:57.256Z"}
2023-12-12 11:54:57 {"sensorData": "64","sensorId": "EGZRrJ","timestamp": "2023-12-12T10:54:57.307Z"}
2023-12-12 11:54:57 {"sensorData": "48","sensorId": "1cTor7","timestamp": "2023-12-12T10:54:57.357Z"}
2023-12-12 11:54:57 {"sensorData": "5","sensorId": "M2QWUq","timestamp": "2023-12-12T10:54:57.407Z"}
2023-12-12 11:54:57 {"sensorData": "19","sensorId": "aG0Q15","timestamp": "2023-12-12T10:54:57.458Z"}
2023-12-12 11:54:57 {"sensorData": "91","sensorId": "ODSi9H","timestamp": "2023-12-12T10:54:57.508Z"}
2023-12-12 11:54:57 {"sensorData": "97","sensorId": "og3dhK","timestamp": "2023-12-12T10:54:57.559Z"}
2023-12-12 11:54:57 {"sensorData": "37","sensorId": "yGk9y1","timestamp": "2023-12-12T10:54:57.609Z"}
2023-12-12 11:54:57 {"sensorData": "29","sensorId": "jfyjLm","timestamp": "2023-12-12T10:54:57.660Z"}
2023-12-12 11:54:57 {"sensorData": "8","sensorId": "ChbfIR","timestamp": "2023-12-12T10:54:57.710Z"}
2023-12-12 11:54:57 {"sensorData": "81","sensorId": "Ho9Tt0","timestamp": "2023-12-12T10:54:57.760Z"}
2023-12-12 11:54:57 {"sensorData": "48","sensorId": "ABcW5m","timestamp": "2023-12-12T10:54:57.811Z"}
2023-12-12 11:54:57 {"sensorData": "89","sensorId": "tbEAg3","timestamp": "2023-12-12T10:54:57.861Z"}
2023-12-12 11:54:57 {"sensorData": "36","sensorId": "Qdwgjv","timestamp": "2023-12-12T10:54:57.912Z"}
2023-12-12 11:54:57 {"sensorData": "97","sensorId": "Rdxppw","timestamp": "2023-12-12T10:54:57.962Z"}
2023-12-12 11:54:58 {"sensorData": "54","sensorId": "GkR4LT","timestamp": "2023-12-12T10:54:58.013Z"}
2023-12-12 11:54:58 {"sensorData": "89","sensorId": "E3CY35","timestamp": "2023-12-12T10:54:58.063Z"}
2023-12-12 11:54:58 {"sensorData": "78","sensorId": "9YUNZg","timestamp": "2023-12-12T10:54:58.114Z"}
2023-12-12 11:54:58 {"sensorData": "78","sensorId": "8A3QBq","timestamp": "2023-12-12T10:54:58.164Z"}
2023-12-12 11:54:58 {"sensorData": "55","sensorId": "QKZnVG","timestamp": "2023-12-12T10:54:58.215Z"}
2023-12-12 11:54:58 {"sensorData": "19","sensorId": "unWZhp","timestamp": "2023-12-12T10:54:58.265Z"}
2023-12-12 11:54:58 {"sensorData": "63","sensorId": "8kX76I","timestamp": "2023-12-12T10:54:58.315Z"}
2023-12-12 11:54:58 {"sensorData": "39","sensorId": "TMtSam","timestamp": "2023-12-12T10:54:58.366Z"}
2023-12-12 11:54:58 {"sensorData": "76","sensorId": "BBpi9e","timestamp": "2023-12-12T10:54:58.416Z"}
2023-12-12 11:54:58 {"sensorData": "7","sensorId": "UJydUl","timestamp": "2023-12-12T10:54:58.467Z"}
2023-12-12 11:54:58 {"sensorData": "88","sensorId": "ZyBXGo","timestamp": "2023-12-12T10:54:58.517Z"}
2023-12-12 11:54:58 {"sensorData": "19","sensorId": "AUsjvL","timestamp": "2023-12-12T10:54:58.568Z"}
2023-12-12 11:54:58 {"sensorData": "43","sensorId": "vVnXkC","timestamp": "2023-12-12T10:54:58.618Z"}
2023-12-12 11:54:58 {"sensorData": "61","sensorId": "kFk4cG","timestamp": "2023-12-12T10:54:58.669Z"}
2023-12-12 11:54:58 {"sensorData": "31","sensorId": "WRVMdm","timestamp": "2023-12-12T10:54:58.719Z"}
2023-12-12 11:54:58 {"sensorData": "29","sensorId": "Hzi5hA","timestamp": "2023-12-12T10:54:58.769Z"}
2023-12-12 11:54:58 {"sensorData": "9","sensorId": "C94YVg","timestamp": "2023-12-12T10:54:58.820Z"}
2023-12-12 11:54:58 {"sensorData": "75","sensorId": "5GAdbK","timestamp": "2023-12-12T10:54:58.870Z"}
2023-12-12 11:54:58 {"sensorData": "10","sensorId": "dg1YWN","timestamp": "2023-12-12T10:54:58.921Z"}
2023-12-12 11:54:58 {"sensorData": "16","sensorId": "XZXvm4","timestamp": "2023-12-12T10:54:58.971Z"}
2023-12-12 11:54:59 {"sensorData": "4","sensorId": "ustWsm","timestamp": "2023-12-12T10:54:59.021Z"}
2023-12-12 11:54:59 {"sensorData": "78","sensorId": "bsh4YF","timestamp": "2023-12-12T10:54:59.072Z"}
2023-12-12 11:54:59 {"sensorData": "68","sensorId": "Yf4ZkV","timestamp": "2023-12-12T10:54:59.122Z"}
2023-12-12 11:54:59 {"sensorData": "91","sensorId": "4ybRmX","timestamp": "2023-12-12T10:54:59.173Z"}
2023-12-12 11:54:59 {"sensorData": "8","sensorId": "yRpQ7G","timestamp": "2023-12-12T10:54:59.223Z"}
2023-12-12 11:54:59 {"sensorData": "17","sensorId": "pS9oaf","timestamp": "2023-12-12T10:54:59.274Z"}
2023-12-12 11:54:59 {"sensorData": "7","sensorId": "XKfLO9","timestamp": "2023-12-12T10:54:59.324Z"}
2023-12-12 11:54:59 {"sensorData": "28","sensorId": "YScSfb","timestamp": "2023-12-12T10:54:59.375Z"}
2023-12-12 11:54:59 {"sensorData": "15","sensorId": "rYyNDL","timestamp": "2023-12-12T10:54:59.425Z"}
2023-12-12 11:54:59 {"sensorData": "32","sensorId": "BhVO0S","timestamp": "2023-12-12T10:54:59.475Z"}
2023-12-12 11:54:59 {"sensorData": "97","sensorId": "YXaJwf","timestamp": "2023-12-12T10:54:59.526Z"}
2023-12-12 11:54:59 {"sensorData": "90","sensorId": "acHWUH","timestamp": "2023-12-12T10:54:59.576Z"}
2023-12-12 11:54:59 {"sensorData": "92","sensorId": "ZIZevl","timestamp": "2023-12-12T10:54:59.627Z"}
2023-12-12 11:54:59 {"sensorData": "2","sensorId": "YU8n2R","timestamp": "2023-12-12T10:54:59.677Z"}
2023-12-12 11:54:59 {"sensorData": "46","sensorId": "QxTClR","timestamp": "2023-12-12T10:54:59.728Z"}
2023-12-12 11:54:59 {"sensorData": "44","sensorId": "FUkDWP","timestamp": "2023-12-12T10:54:59.778Z"}
2023-12-12 11:54:59 {"sensorData": "5","sensorId": "EmRsVE","timestamp": "2023-12-12T10:54:59.828Z"}
2023-12-12 11:54:59 {"sensorData": "10","sensorId": "gO82y6","timestamp": "2023-12-12T10:54:59.879Z"}
2023-12-12 11:54:59 {"sensorData": "46","sensorId": "oL649N","timestamp": "2023-12-12T10:54:59.929Z"}
2023-12-12 11:54:59 {"sensorData": "19","sensorId": "iuxNeF","timestamp": "2023-12-12T10:54:59.980Z"}
2023-12-12 11:55:00 {"sensorData": "40","sensorId": "Yltqv8","timestamp": "2023-12-12T10:55:00.030Z"}
2023-12-12 11:55:00 {"sensorData": "28","sensorId": "eC1igZ","timestamp": "2023-12-12T10:55:00.080Z"}
2023-12-12 11:55:00 {"sensorData": "13","sensorId": "DWfRv9","timestamp": "2023-12-12T10:55:00.131Z"}
2023-12-12 11:55:00 {"sensorData": "88","sensorId": "uM5C4q","timestamp": "2023-12-12T10:55:00.181Z"}
2023-12-12 11:55:00 {"sensorData": "73","sensorId": "8ThU2A","timestamp": "2023-12-12T10:55:00.232Z"}
2023-12-12 11:55:00 {"sensorData": "14","sensorId": "oyHsZy","timestamp": "2023-12-12T10:55:00.282Z"}
2023-12-12 11:55:00 {"sensorData": "69","sensorId": "3nAw7F","timestamp": "2023-12-12T10:55:00.333Z"}
2023-12-12 11:55:00 {"sensorData": "12","sensorId": "tCMLeF","timestamp": "2023-12-12T10:55:00.383Z"}
2023-12-12 11:55:00 {"sensorData": "78","sensorId": "8Vd4El","timestamp": "2023-12-12T10:55:00.434Z"}
2023-12-12 11:55:00 {"sensorData": "16","sensorId": "xJMJ6j","timestamp": "2023-12-12T10:55:00.484Z"}
2023-12-12 11:55:00 {"sensorData": "29","sensorId": "THqMTQ","timestamp": "2023-12-12T10:55:00.534Z"}
2023-12-12 11:55:00 {"sensorData": "45","sensorId": "Qj97LL","timestamp": "2023-12-12T10:55:00.585Z"}
2023-12-12 11:55:00 {"sensorData": "51","sensorId": "NeJJZK","timestamp": "2023-12-12T10:55:00.635Z"}
2023-12-12 11:55:00 {"sensorData": "11","sensorId": "rTfMtS","timestamp": "2023-12-12T10:55:00.686Z"}
2023-12-12 11:55:00 {"sensorData": "13","sensorId": "nZd6xt","timestamp": "2023-12-12T10:55:00.736Z"}
2023-12-12 11:55:00 {"sensorData": "12","sensorId": "e8FUhE","timestamp": "2023-12-12T10:55:00.787Z"}
2023-12-12 11:55:00 {"sensorData": "16","sensorId": "TdlufS","timestamp": "2023-12-12T10:55:00.837Z"}
2023-12-12 11:55:00 {"sensorData": "26","sensorId": "4sxkcB","timestamp": "2023-12-12T10:55:00.887Z"}
2023-12-12 11:55:00 {"sensorData": "42","sensorId": "vh8G69","timestamp": "2023-12-12T10:55:00.938Z"}
