2023-12-12 12:56:54 {"sensorData": "7","sensorId": "9kuZGY","timestamp": "2023-12-12T11:56:54.022Z"}
2023-12-12 12:56:56 {"sensorData": "7","sensorId": "KgoGsU","timestamp": "2023-12-12T11:56:56.995Z"}
2023-12-12 12:56:57 {"sensorData": "42","sensorId": "UrCtmr","timestamp": "2023-12-12T11:56:57.021Z"}
2023-12-12 12:56:57 {"sensorData": "45","sensorId": "wZMlzh","timestamp": "2023-12-12T11:56:57.046Z"}
2023-12-12 12:56:57 {"sensorData": "10","sensorId": "0LVakz","timestamp": "2023-12-12T11:56:57.072Z"}
2023-12-12 12:56:57 {"sensorData": "97","sensorId": "nl8Xqn","timestamp": "2023-12-12T11:56:57.097Z"}
2023-12-12 12:56:57 {"sensorData": "55","sensorId": "I59skz","timestamp": "2023-12-12T11:56:57.123Z"}
2023-12-12 12:56:57 {"sensorData": "25","sensorId": "wQYQFA","timestamp": "2023-12-12T11:56:57.148Z"}
2023-12-12 12:56:57 {"sensorData": "53","sensorId": "2HlTh4","timestamp": "2023-12-12T11:56:57.174Z"}
2023-12-12 12:56:57 {"sensorData": "95","sensorId": "puKCFJ","timestamp": "2023-12-12T11:56:57.199Z"}
2023-12-12 12:56:57 {"sensorData": "9","sensorId": "TUEsNB","timestamp": "2023-12-12T11:56:57.225Z"}
2023-12-12 12:56:57 {"sensorData": "44","sensorId": "X0gjG4","timestamp": "2023-12-12T11:56:57.250Z"}
2023-12-12 12:56:57 {"sensorData": "63","sensorId": "9vO200","timestamp": "2023-12-12T11:56:57.276Z"}
2023-12-12 12:56:57 {"sensorData": "29","sensorId": "5UoleZ","timestamp": "2023-12-12T11:56:57.301Z"}
2023-12-12 12:56:57 {"sensorData": "13","sensorId": "IwZret","timestamp": "2023-12-12T11:56:57.326Z"}
2023-12-12 12:56:57 {"sensorData": "25","sensorId": "RVeEJk","timestamp": "2023-12-12T11:56:57.352Z"}
2023-12-12 12:56:57 {"sensorData": "5","sensorId": "geAfxe","timestamp": "2023-12-12T11:56:57.377Z"}
2023-12-12 12:56:57 {"sensorData": "15","sensorId": "m2EfNT","timestamp": "2023-12-12T11:56:57.403Z"}
2023-12-12 12:56:57 {"sensorData": "42","sensorId": "PI0l2P","timestamp": "2023-12-12T11:56:57.428Z"}
2023-12-12 12:56:57 {"sensorData": "53","sensorId": "668NPc","timestamp": "2023-12-12T11:56:57.454Z"}
2023-12-12 12:56:57 {"sensorData": "85","sensorId": "pkStpi","timestamp": "2023-12-12T11:56:57.479Z"}
2023-12-12 12:56:57 {"sensorData": "48","sensorId": "KksUdU","timestamp": "2023-12-12T11:56:57.505Z"}
2023-12-12 12:56:57 {"sensorData": "14","sensorId": "ODet94","timestamp": "2023-12-12T11:56:57.530Z"}
2023-12-12 12:56:57 {"sensorData": "53","sensorId": "1H4VE2","timestamp": "2023-12-12T11:56:57.555Z"}
2023-12-12 12:56:57 {"sensorData": "76","sensorId": "h3Dwdj","timestamp": "2023-12-12T11:56:57.581Z"}
2023-12-12 12:56:57 {"sensorData": "77","sensorId": "qraZAq","timestamp": "2023-12-12T11:56:57.606Z"}
2023-12-12 12:56:57 {"sensorData": "45","sensorId": "BazfCE","timestamp": "2023-12-12T11:56:57.632Z"}
2023-12-12 12:56:57 {"sensorData": "44","sensorId": "zwZp4T","timestamp": "2023-12-12T11:56:57.657Z"}
2023-12-12 12:56:57 {"sensorData": "72","sensorId": "wKxDBY","timestamp": "2023-12-12T11:56:57.683Z"}
2023-12-12 12:56:57 {"sensorData": "62","sensorId": "E8zTnx","timestamp": "2023-12-12T11:56:57.708Z"}
2023-12-12 12:56:57 {"sensorData": "72","sensorId": "NNheMF","timestamp": "2023-12-12T11:56:57.734Z"}
2023-12-12 12:56:57 {"sensorData": "7","sensorId": "c9EBtr","timestamp": "2023-12-12T11:56:57.759Z"}
2023-12-12 12:56:57 {"sensorData": "76","sensorId": "l9PHHa","timestamp": "2023-12-12T11:56:57.784Z"}
2023-12-12 12:56:57 {"sensorData": "87","sensorId": "8YVAWk","timestamp": "2023-12-12T11:56:57.810Z"}
2023-12-12 12:56:57 {"sensorData": "77","sensorId": "8GRJjX","timestamp": "2023-12-12T11:56:57.835Z"}
2023-12-12 12:56:57 {"sensorData": "84","sensorId": "TsTVpl","timestamp": "2023-12-12T11:56:57.861Z"}
2023-12-12 12:56:57 {"sensorData": "67","sensorId": "IBZUAC","timestamp": "2023-12-12T11:56:57.886Z"}
2023-12-12 12:56:57 {"sensorData": "39","sensorId": "7Cm3p5","timestamp": "2023-12-12T11:56:57.911Z"}
2023-12-12 12:56:57 {"sensorData": "29","sensorId": "9eD7Ki","timestamp": "2023-12-12T11:56:57.937Z"}
2023-12-12 12:56:57 {"sensorData": "13","sensorId": "R5jBn0","timestamp": "2023-12-12T11:56:57.962Z"}
2023-12-12 12:56:57 {"sensorData": "60","sensorId": "Ccv9Dj","timestamp": "2023-12-12T11:56:57.988Z"}
2023-12-12 12:56:58 {"sensorData": "15","sensorId": "3L6Ych","timestamp": "2023-12-12T11:56:58.013Z"}
2023-12-12 12:56:58 {"sensorData": "47","sensorId": "pc8oez","timestamp": "2023-12-12T11:56:58.039Z"}
2023-12-12 12:56:58 {"sensorData": "50","sensorId": "OIPuBY","timestamp": "2023-12-12T11:56:58.064Z"}
2023-12-12 12:56:58 {"sensorData": "65","sensorId": "NO5dOp","timestamp": "2023-12-12T11:56:58.089Z"}
2023-12-12 12:56:58 {"sensorData": "34","sensorId": "hyT87O","timestamp": "2023-12-12T11:56:58.115Z"}
2023-12-12 12:56:58 {"sensorData": "10","sensorId": "7TzmTy","timestamp": "2023-12-12T11:56:58.140Z"}
2023-12-12 12:56:58 {"sensorData": "49","sensorId": "YXJAto","timestamp": "2023-12-12T11:56:58.166Z"}
2023-12-12 12:56:58 {"sensorData": "46","sensorId": "VaDwMz","timestamp": "2023-12-12T11:56:58.191Z"}
2023-12-12 12:56:58 {"sensorData": "31","sensorId": "rMCy8l","timestamp": "2023-12-12T11:56:58.217Z"}
2023-12-12 12:56:58 {"sensorData": "89","sensorId": "3Xf1GF","timestamp": "2023-12-12T11:56:58.242Z"}
2023-12-12 12:56:58 {"sensorData": "93","sensorId": "q1AeO7","timestamp": "2023-12-12T11:56:58.268Z"}
2023-12-12 12:56:58 {"sensorData": "28","sensorId": "6jnPhQ","timestamp": "2023-12-12T11:56:58.293Z"}
2023-12-12 12:56:58 {"sensorData": "55","sensorId": "UdAbN2","timestamp": "2023-12-12T11:56:58.318Z"}
2023-12-12 12:56:58 {"sensorData": "15","sensorId": "LcSFXY","timestamp": "2023-12-12T11:56:58.344Z"}
2023-12-12 12:56:58 {"sensorData": "72","sensorId": "urvIiU","timestamp": "2023-12-12T11:56:58.369Z"}
2023-12-12 12:56:58 {"sensorData": "78","sensorId": "URcQZp","timestamp": "2023-12-12T11:56:58.395Z"}
2023-12-12 12:56:58 {"sensorData": "41","sensorId": "64wQ5V","timestamp": "2023-12-12T11:56:58.420Z"}
2023-12-12 12:56:58 {"sensorData": "65","sensorId": "JLdiNV","timestamp": "2023-12-12T11:56:58.446Z"}
2023-12-12 12:56:58 {"sensorData": "17","sensorId": "zH5TYr","timestamp": "2023-12-12T11:56:58.471Z"}
2023-12-12 12:56:58 {"sensorData": "61","sensorId": "691RQ1","timestamp": "2023-12-12T11:56:58.497Z"}
2023-12-12 12:56:58 {"sensorData": "53","sensorId": "DfRA9b","timestamp": "2023-12-12T11:56:58.522Z"}
2023-12-12 12:56:58 {"sensorData": "34","sensorId": "2UUzwV","timestamp": "2023-12-12T11:56:58.548Z"}
2023-12-12 12:56:58 {"sensorData": "28","sensorId": "7Ehwcd","timestamp": "2023-12-12T11:56:58.573Z"}
2023-12-12 12:56:58 {"sensorData": "7","sensorId": "YsuTrj","timestamp": "2023-12-12T11:56:58.598Z"}
2023-12-12 12:56:58 {"sensorData": "56","sensorId": "5bTzgy","timestamp": "2023-12-12T11:56:58.624Z"}
2023-12-12 12:56:58 {"sensorData": "67","sensorId": "dy13iJ","timestamp": "2023-12-12T11:56:58.649Z"}
2023-12-12 12:56:58 {"sensorData": "97","sensorId": "EuZCX6","timestamp": "2023-12-12T11:56:58.675Z"}
2023-12-12 12:56:58 {"sensorData": "22","sensorId": "Z72Lpm","timestamp": "2023-12-12T11:56:58.700Z"}
2023-12-12 12:56:58 {"sensorData": "36","sensorId": "GuSAtC","timestamp": "2023-12-12T11:56:58.726Z"}
2023-12-12 12:56:58 {"sensorData": "25","sensorId": "zYMAmB","timestamp": "2023-12-12T11:56:58.751Z"}
2023-12-12 12:56:58 {"sensorData": "19","sensorId": "v9KXrx","timestamp": "2023-12-12T11:56:58.776Z"}
2023-12-12 12:56:58 {"sensorData": "83","sensorId": "esc1p4","timestamp": "2023-12-12T11:56:58.802Z"}
2023-12-12 12:56:58 {"sensorData": "15","sensorId": "DeX7yE","timestamp": "2023-12-12T11:56:58.827Z"}
2023-12-12 12:56:58 {"sensorData": "71","sensorId": "P6mcSW","timestamp": "2023-12-12T11:56:58.853Z"}
2023-12-12 12:56:58 {"sensorData": "72","sensorId": "5mUols","timestamp": "2023-12-12T11:56:58.878Z"}
2023-12-12 12:56:58 {"sensorData": "69","sensorId": "AQrF8t","timestamp": "2023-12-12T11:56:58.904Z"}
2023-12-12 12:56:58 {"sensorData": "52","sensorId": "nlXQpJ","timestamp": "2023-12-12T11:56:58.929Z"}
2023-12-12 12:56:58 {"sensorData": "38","sensorId": "Md9r9m","timestamp": "2023-12-12T11:56:58.954Z"}
2023-12-12 12:56:58 {"sensorData": "8","sensorId": "R6UKgE","timestamp": "2023-12-12T11:56:58.980Z"}
2023-12-12 12:56:59 {"sensorData": "20","sensorId": "rX0QBf","timestamp": "2023-12-12T11:56:59.005Z"}
2023-12-12 12:56:59 {"sensorData": "93","sensorId": "zyDKJr","timestamp": "2023-12-12T11:56:59.031Z"}
2023-12-12 12:56:59 {"sensorData": "89","sensorId": "W01y30","timestamp": "2023-12-12T11:56:59.056Z"}
2023-12-12 12:56:59 {"sensorData": "70","sensorId": "0a8F7Q","timestamp": "2023-12-12T11:56:59.081Z"}
2023-12-12 12:56:59 {"sensorData": "98","sensorId": "dl2t6Q","timestamp": "2023-12-12T11:56:59.107Z"}
2023-12-12 12:56:59 {"sensorData": "87","sensorId": "vVgUjJ","timestamp": "2023-12-12T11:56:59.132Z"}
2023-12-12 12:56:59 {"sensorData": "48","sensorId": "QYHDMw","timestamp": "2023-12-12T11:56:59.158Z"}
2023-12-12 12:56:59 {"sensorData": "1","sensorId": "DnBrnz","timestamp": "2023-12-12T11:56:59.183Z"}
2023-12-12 12:56:59 {"sensorData": "95","sensorId": "ieZknR","timestamp": "2023-12-12T11:56:59.209Z"}
2023-12-12 12:56:59 {"sensorData": "29","sensorId": "hyyCjE","timestamp": "2023-12-12T11:56:59.234Z"}
2023-12-12 12:56:59 {"sensorData": "62","sensorId": "rdC508","timestamp": "2023-12-12T11:56:59.259Z"}
2023-12-12 12:56:59 {"sensorData": "0","sensorId": "Cum6HN","timestamp": "2023-12-12T11:56:59.285Z"}
2023-12-12 12:56:59 {"sensorData": "21","sensorId": "Tb81dX","timestamp": "2023-12-12T11:56:59.310Z"}
2023-12-12 12:56:59 {"sensorData": "7","sensorId": "qDCxZ0","timestamp": "2023-12-12T11:56:59.336Z"}
2023-12-12 12:56:59 {"sensorData": "75","sensorId": "6s9luz","timestamp": "2023-12-12T11:56:59.361Z"}
2023-12-12 12:56:59 {"sensorData": "49","sensorId": "kxDMQN","timestamp": "2023-12-12T11:56:59.387Z"}
2023-12-12 12:56:59 {"sensorData": "12","sensorId": "npU4oS","timestamp": "2023-12-12T11:56:59.412Z"}
2023-12-12 12:56:59 {"sensorData": "92","sensorId": "rEVH5m","timestamp": "2023-12-12T11:56:59.438Z"}
2023-12-12 12:56:59 {"sensorData": "58","sensorId": "UaROtQ","timestamp": "2023-12-12T11:56:59.463Z"}
2023-12-12 12:56:59 {"sensorData": "76","sensorId": "Nf5VBy","timestamp": "2023-12-12T11:56:59.488Z"}
2023-12-12 12:56:59 {"sensorData": "77","sensorId": "ha4spM","timestamp": "2023-12-12T11:56:59.514Z"}
2023-12-12 12:56:59 {"sensorData": "81","sensorId": "Bs7SWQ","timestamp": "2023-12-12T11:56:59.539Z"}
2023-12-12 12:56:59 {"sensorData": "51","sensorId": "P0hz1W","timestamp": "2023-12-12T11:56:59.565Z"}
2023-12-12 12:56:59 {"sensorData": "12","sensorId": "iC0TFV","timestamp": "2023-12-12T11:56:59.590Z"}
2023-12-12 12:56:59 {"sensorData": "98","sensorId": "4hZbhR","timestamp": "2023-12-12T11:56:59.616Z"}
2023-12-12 12:56:59 {"sensorData": "54","sensorId": "utFVMA","timestamp": "2023-12-12T11:56:59.641Z"}
2023-12-12 12:56:59 {"sensorData": "57","sensorId": "weOc5V","timestamp": "2023-12-12T11:56:59.667Z"}
2023-12-12 12:56:59 {"sensorData": "23","sensorId": "UFB07r","timestamp": "2023-12-12T11:56:59.692Z"}
2023-12-12 12:56:59 {"sensorData": "5","sensorId": "Bcbvk0","timestamp": "2023-12-12T11:56:59.718Z"}
2023-12-12 12:56:59 {"sensorData": "55","sensorId": "pINK1g","timestamp": "2023-12-12T11:56:59.743Z"}
2023-12-12 12:56:59 {"sensorData": "81","sensorId": "BEVYIz","timestamp": "2023-12-12T11:56:59.768Z"}
2023-12-12 12:56:59 {"sensorData": "98","sensorId": "DjplOR","timestamp": "2023-12-12T11:56:59.794Z"}
2023-12-12 12:56:59 {"sensorData": "63","sensorId": "K6Kb9J","timestamp": "2023-12-12T11:56:59.819Z"}
